"#"	"TYPE"	"CITATION"	"LINE NUMBER"	"FUNCTION"
1	"Abstract  moment"	"‘As I lay in my bed upon a nyght’"	"L. 6"	"Specific place (Chester Inn) and time creates narrative context of entering dream."
2	"Abstract duration"	"‘And many a day and nyght that wikkid hyne’"	"L. 8"	"Recollection of past duration starts to merge past and present times, acting as a descriptive tool of thought processes."
3	"Memory"	"‘Me fil to mynde how that nat longe agoo’"	"L. 22"	"Remembers Richard II’s fall, setting political time of narrative."
4	"Universal temporality"	"‘Allas, wher is this worlds stablenesse? / Heer up, heer down; heer honour, heer repreef; / Now hool, now seek, now bountee, now mescheef,’"	"L. 47-48"	"To emphasise transitory nature of secular fortune"
5	"Past authority"	"‘how in books thus written I fynde’"	"L. 54"	"Authenticating strategy of narrative voice"
6	"Precise moment"	"‘This ilke nyght I walwid to and fro’"	"L. 71"	"Links back to opening of narrative, bringing reader into presence of the narrative moment that is a recollection"
7	"Abstract duration"	"‘So long a nyght ne felte I nevere noon’"	"L. 78"	"Narrator’s inability to sleep, due to dream setting"
8	"Subjective units (of the temporal hours)"	"‘As discordant as day is unto nyght’"	"L. 96"	"Speech on opposites, as narrator wants solitude not joy, analogy to discordant relationship between night and day"
9	"Time duration and abstract moment"	"‘Passe over; whant this stormy nyght was goon / And day gan at my wyndowe in to praye’"	"L. 113-114"	" Narrative return to L 78, the moment after the abstract duration of the night"
10	"Precise duration"	"‘By that I walked hadde a certain tyme, / Were it an hour I not, or more or lesse’"	"L. 120-121"	"Focus on precision here, sets narrative context of physical activity to begin after torturous night."
11	"Age: youth"	"‘Thow nart but yong and hast but litil seen,/ And ful, seelde is that yong folk wyse been’"	"L. 146-147"	"Old man generalising about young, inexperienced and seldom wise state to waking Hoccleve-narrator."
12	"Duration"	"‘Petir, good man, thogh we talke heer tile eve, / Al is in veyn’"	"L. 180-181 "	"Hoccleve-narrator tells Old Man there is no point in wasting time until evening talking, as in too much pain."
13	"Age: youth"	"‘Aftir thy childish misreuled conceit, / Thow doost unto thyself harm and deceit’"	"L. 195-196 "	"Old Man instructs Hoccleve-narrator to do as told and not be ruled by negative attributes of youth, and then will be cured."
14	"Past authority"	"‘The Book seith thus – I redde it yore agoon’"	"L. 204 "	"Old Man cites the authority of the Bible when advocating counsel."
15	"Death"	"‘Byreven man his helthe and his welfare / And his days abregge and shorte his lyf’.’"	"L. 229-230"	"Solomon’s advice in form of warning of brevity of life, about the impending end of one’s time."
16	"Duration"	"‘The lovere also seen men day by day’"	"L. 242"	"How the thought of death torments people in various ways. Duration and continuance conveyed here, with no satisfaction."
17	"Duration"	"‘Thow seest al day the begger is releeved’"	"L. 248"	"The Old Man suffers and endures."
18	"Moment"	"‘Hy tyme it is to voide and lat him twyne’"	"L. 276"	"Old Man indicates to Hoccleve-narrator that this is the propitious moment to expel such thoughts."
19	"Moment"	"‘Unto the day he clad were in his grave’"	"L. 303"	"This moment brings the closure of the narrative episode of burning of the Lollard of John Badby (which helps date the poem), which enables the commentary on the event to begin."
20	"Age: old"	"‘This olde dotid grisel halt him wys; / He weeneth maken in myn heed to synke / His lewde clap, of which sette I no prys. / He is a noble prechour at devys; / Greet noyse hath thurgh his chynned lippes drye / This day out past, the devel in his ye.’"	"L. 401-406"	"Old Man reckons he has made good sense, and lists positives of the mind in old age (in lines 402-5), emphasising that the negatives are only in relation to the physical body."
21	"Past authority"	"‘In dayes olde, whan ...’"	"L. 491"	"Narrative linking unit"
22	"Moment: abstract"	"‘As men dide in old tyme’"	"L. 509"	"Lament on evils of wasteful fashion (dress)"
23	"Age: young and old"	"‘Thogh I be old and myn array untheende,/For many a yong man, woot I wel certeyn,/Of corage is so prowd and so hauteyn/ That to the poore and old mannes doctryn/Ful seelde him deynth bowen or enclyn’"	"L. 556-560"	"Old Man pleading with young Hoccleve-narrator to listen, but recognising inability of youth to do so. Oppositions between the two age states listed here; with physical appearance of Old Man being presented in negative terms but emotional index of youth being condemned."
24	"Age: old age and then youth"	"‘Senek seith, age is an infimitee/ That leche noon can cure ne it hele,/ For to the deeth next neigheburgh is he./ Ther may no wight the charter of lyf ensile;/ The ende is deeth of male and of female/ Nothyng is more certeyn than deeth is,/ Ne more uncerteyn than the tyme, ywis./ / ""As touchynge age, God in Holy Writ/ Right thus seith: 'Fadir and modir honure,/ That thow maist be long-lyved' - thus he bit./ Than moot it folwen upon this scripture,/ Age is a guerdoun to a creature,/ And long-lyved is noon withouten age,/ Wherfore I seye, in elde is avauntage;/ / ""And the reward of God may nat be smal;/ His giftes been ful noble and profitable;/ Forthy ne lakke thow nat age at al./ Whan youthe is past is age sesonable;/ Age hath insighte how unseur and unstable/ This worldes cours is by lengthe of his yeeres,/ And can deffende him from his sharpe breres./ / ""Lord, whethir it be maistrie to knowe/ Whan a man ofte hath sundry weyes ride,/ Which is the beste? Nay, for soothe, I trowe,/ Right so he that hath many a world abide/ There he in youthe wroghte mis or dide,/ His age it seeth and bit him it eschue/ And seekith weyes covenable and due./ / ""Whan that thow hast assayed bothe two,/ Sad age, I seye, aftir thy skittissh yowthe,/ As thow moot needes atteyne therto/ Or sterve yong, than trowe I thow wilt bowe thee/ To swiche conceites as I have nowthe,/ And thanke God devoutly in thyn herte/ That He hath suffrid thee thy yowthe asterte,’"	"L. 561-595"	"Age and death,Negatives of old age. Issue of temporality, and, in turn, temporal consciousness, increases with age. As passage progresses moves onto positives of old age – wisdom, humility in poverty etc, in contrast to the follies of youth.."
